x,y,priorates,totalties,vertex.names,wealth,xend,yend,connection
0,0.7046035072113297,0,7,Pazzi,48,0.13569719017621168,0.5834624937834135,marriage
0.21499828544842367,0.3851282699901814,53,2,Acciaiuoli,10,0.3910200178222442,0.5535144712073597,marriage
0.3812610713265212,0.8425084307076434,0,14,Barbadori,55,0.5826444047636894,1,marriage
0.3812610713265212,0.8425084307076434,0,14,Barbadori,55,0.3910200178222442,0.5535144712073597,marriage
0.3910200178222442,0.5535144712073597,53,54,Medici,103,0.5589504451137387,0.7084158021829167,marriage
0.3910200178222442,0.5535144712073597,53,54,Medici,103,0.13569719017621168,0.5834624937834135,marriage
0.3910200178222442,0.5535144712073597,53,54,Medici,103,0.6267238989325148,0.5267430329259599,marriage
0.5589504451137387,0.7084158021829167,38,4,Ridolfi,27,0.7259468645054742,0.8714064735051563,marriage
0.5589504451137387,0.7084158021829167,38,4,Ridolfi,27,0.6267238989325148,0.5267430329259599,marriage
0.5826444047636894,1,22,18,Castellani,20,0.8214458494209336,0.9696594097612998,marriage
0.5826444047636894,1,22,18,Castellani,20,0.7259468645054742,0.8714064735051563,marriage
0.6003926531075237,0.3470718301400427,65,3,Albizzi,36,0.662446916048752,0.12822655671072627,marriage
0.6003926531075237,0.3470718301400427,65,3,Albizzi,36,0.8352155611402852,0.47392784542695204,marriage
0.6003926531075237,0.3470718301400427,65,3,Albizzi,36,0.3910200178222442,0.5535144712073597,marriage
0.8214458494209336,0.9696594097612998,42,32,Peruzzi,49,0.7259468645054742,0.8714064735051563,marriage
0.8352155611402852,0.47392784542695204,21,14,Guadagni,8,1,0.34746249214544056,marriage
0.8352155611402852,0.47392784542695204,21,14,Guadagni,8,0.6267238989325148,0.5267430329259599,marriage
0.8952379120012368,0.7384798576384289,12,9,Bischeri,44,0.8352155611402852,0.47392784542695204,marriage
0.8952379120012368,0.7384798576384289,12,9,Bischeri,44,0.8214458494209336,0.9696594097612998,marriage
0.8952379120012368,0.7384798576384289,12,9,Bischeri,44,0.7259468645054742,0.8714064735051563,marriage
0.21499828544842367,0.3851282699901814,53,2,Acciaiuoli,10,0.21499828544842367,0.3851282699901814,marriage
0.6003926531075237,0.3470718301400427,65,3,Albizzi,36,0.6003926531075237,0.3470718301400427,marriage
0.3812610713265212,0.8425084307076434,0,14,Barbadori,55,0.3812610713265212,0.8425084307076434,marriage
0.8952379120012368,0.7384798576384289,12,9,Bischeri,44,0.8952379120012368,0.7384798576384289,marriage
0.5826444047636894,1,22,18,Castellani,20,0.5826444047636894,1,marriage
0.662446916048752,0.12822655671072627,0,9,Ginori,32,0.662446916048752,0.12822655671072627,marriage
0.8352155611402852,0.47392784542695204,21,14,Guadagni,8,0.8352155611402852,0.47392784542695204,marriage
1,0.34746249214544056,0,14,Lamberteschi,42,1,0.34746249214544056,marriage
0.3910200178222442,0.5535144712073597,53,54,Medici,103,0.3910200178222442,0.5535144712073597,marriage
0,0.7046035072113297,0,7,Pazzi,48,0,0.7046035072113297,marriage
0.8214458494209336,0.9696594097612998,42,32,Peruzzi,49,0.8214458494209336,0.9696594097612998,marriage
0.30934888841431124,0,0,1,Pucci,3,0.30934888841431124,0,marriage
0.5589504451137387,0.7084158021829167,38,4,Ridolfi,27,0.5589504451137387,0.7084158021829167,marriage
0.13569719017621168,0.5834624937834135,35,5,Salviati,10,0.13569719017621168,0.5834624937834135,marriage
0.7259468645054742,0.8714064735051563,74,29,Strozzi,146,0.7259468645054742,0.8714064735051563,marriage
0.6267238989325148,0.5267430329259599,0,7,Tornabuoni,48,0.6267238989325148,0.5267430329259599,marriage
0.20477614550779707,0.3914192730935212,53,54,Medici,103,0.032357717936082685,0.27309799906916893,business
0.20477614550779707,0.3914192730935212,53,54,Medici,103,0,0.4741058767870783,business
0.20477614550779707,0.3914192730935212,53,54,Medici,103,0.15848436008943825,0.5822912769339339,business
0.310423485598648,0.246565806741789,0,9,Ginori,32,0.20477614550779707,0.3914192730935212,business
0.470970632251396,0.3474863703984522,0,14,Barbadori,55,0.711455419114532,0.293698396412775,business
0.470970632251396,0.3474863703984522,0,14,Barbadori,55,0.310423485598648,0.246565806741789,business
0.470970632251396,0.3474863703984522,0,14,Barbadori,55,0.20477614550779707,0.3914192730935212,business
0.470970632251396,0.3474863703984522,0,14,Barbadori,55,0.6892625465259757,0.43289302303947436,business
0.711455419114532,0.293698396412775,22,18,Castellani,20,0.8750334897938976,0.4108442987762414,business
0.711455419114532,0.293698396412775,22,18,Castellani,20,0.6892625465259757,0.43289302303947436,business
0.8306232830745724,0.5640026271710342,12,9,Bischeri,44,1,0.5416659230040654,business
0.8306232830745724,0.5640026271710342,12,9,Bischeri,44,0.8750334897938976,0.4108442987762414,business
0.8306232830745724,0.5640026271710342,12,9,Bischeri,44,0.6892625465259757,0.43289302303947436,business
0.8750334897938976,0.4108442987762414,0,14,Lamberteschi,42,0.6892625465259757,0.43289302303947436,business
1,0.5416659230040654,21,14,Guadagni,8,0.8750334897938976,0.4108442987762414,business
0.8484028460521447,0.895536268159897,53,2,Acciaiuoli,10,0.8484028460521447,0.895536268159897,business
0.5784989800298471,0,65,3,Albizzi,36,0.5784989800298471,0,business
0.470970632251396,0.3474863703984522,0,14,Barbadori,55,0.470970632251396,0.3474863703984522,business
0.8306232830745724,0.5640026271710342,12,9,Bischeri,44,0.8306232830745724,0.5640026271710342,business
0.711455419114532,0.293698396412775,22,18,Castellani,20,0.711455419114532,0.293698396412775,business
0.310423485598648,0.246565806741789,0,9,Ginori,32,0.310423485598648,0.246565806741789,business
1,0.5416659230040654,21,14,Guadagni,8,1,0.5416659230040654,business
0.8750334897938976,0.4108442987762414,0,14,Lamberteschi,42,0.8750334897938976,0.4108442987762414,business
0.20477614550779707,0.3914192730935212,53,54,Medici,103,0.20477614550779707,0.3914192730935212,business
0.032357717936082685,0.27309799906916893,0,7,Pazzi,48,0.032357717936082685,0.27309799906916893,business
0.6892625465259757,0.43289302303947436,42,32,Peruzzi,49,0.6892625465259757,0.43289302303947436,business
0.31608302216938694,0.959173095144123,0,1,Pucci,3,0.31608302216938694,0.959173095144123,business
0.0801659751469472,0.8419929158052041,38,4,Ridolfi,27,0.0801659751469472,0.8419929158052041,business
0,0.4741058767870783,35,5,Salviati,10,0,0.4741058767870783,business
0.5789507983958101,1,74,29,Strozzi,146,0.5789507983958101,1,business
0.15848436008943825,0.5822912769339339,0,7,Tornabuoni,48,0.15848436008943825,0.5822912769339339,business
